curve_type,sample_id,x,density
observed,observed,64.20088842044584,0.005998972825800311
observed,observed,64.47594154570149,0.0064962871699703745
observed,observed,64.75099467095717,0.007059074323820075
observed,observed,65.02604779621282,0.007699329298252698
observed,observed,65.3011009214685,0.00842934670869103
observed,observed,65.57615404672416,0.009260994554630593
observed,observed,65.85120717197984,0.010204884595559821
observed,observed,66.12626029723549,0.011269521416674911
observed,observed,66.40131342249117,0.012460535559689383
observed,observed,66.67636654774682,0.013780115032504809
observed,observed,66.9514196730025,0.015226739153390638
observed,observed,67.22647279825816,0.016795287484263146
observed,observed,67.50152592351384,0.018477547391125736
observed,observed,67.77657904876949,0.02026308372963123
observed,observed,68.05163217402517,0.022140373725013752
observed,observed,68.32668529928083,0.024098060909566593
observed,observed,68.6017384245365,0.026126154228083228
observed,observed,68.87679154979216,0.028216998557407856
observed,observed,69.15184467504784,0.03036587191697545
observed,observed,69.4268978003035,0.03257111775859855
observed,observed,69.70195092555917,0.03483378826908825
observed,observed,69.97700405081483,0.03715684425518693
observed,observed,70.25205717607051,0.03954401660344322
observed,observed,70.52711030132616,0.04199847388541412
observed,observed,70.80216342658184,0.0445214553143583
observed,observed,71.0772165518375,0.0471110180703027
observed,observed,71.35226967709318,0.04976101775018488
observed,observed,71.62732280234883,0.05246039821530824
observed,observed,71.90237592760451,0.05519282134691194
observed,observed,72.17742905286016,0.05793662635439898
observed,observed,72.45248217811584,0.0606650783627878
observed,observed,72.7275353033715,0.06334685031276983
observed,observed,73.00258842862718,0.06594668116841651
observed,observed,73.27764155388283,0.06842616491042033
observed,observed,73.55269467913851,0.07074464452718256
observed,observed,73.82774780439416,0.07286020731237569
observed,observed,74.10280092964985,0.074730795437355
observed,observed,74.3778540549055,0.07631545235371184
observed,observed,74.65290718016118,0.0775757160996549
observed,observed,74.92796030541683,0.0784771433512336
observed,observed,75.20301343067251,0.07899090607999393
observed,observed,75.47806655592817,0.07909535408521688
observed,observed,75.75311968118385,0.07877739372046046
observed,observed,76.0281728064395,0.07803350965387205
observed,observed,76.30322593169518,0.07687026419599945
observed,observed,76.57827905695083,0.07530415334268234
observed,observed,76.8533321822065,0.07336077720271995
observed,observed,77.12838530746217,0.07107338247287517
observed,observed,77.40343843271783,0.06848093621775322
observed,observed,77.6784915579735,0.06562597052139407
observed,observed,77.95354468322917,0.06255247648065808
observed,observed,78.22859780848484,0.05930411173920194
observed,observed,78.5036509337405,0.05592291863291588
observed,observed,78.77870405899617,0.052448643113128746
observed,observed,79.05375718425184,0.048918621029885694
observed,observed,79.3288103095075,0.045368085676858017
observed,observed,79.60386343476317,0.04183067394168203
observed,observed,79.87891656001884,0.03833888453887286
observed,observed,80.1539696852745,0.03492427453379089
observed,observed,80.42902281053017,0.031617260259626745
observed,observed,80.70407593578584,0.028446495739207964
observed,observed,80.9791290610415,0.02543791047426262
observed,observed,81.25418218629717,0.022613574565396012
observed,observed,81.52923531155284,0.019990604827212894
observed,observed,81.8042884368085,0.017580323382789642
observed,observed,82.07934156206417,0.015387833819646424
observed,observed,82.35439468731984,0.013412102346924842
observed,observed,82.6294478125755,0.011646541025579863
observed,observed,82.90450093783117,0.010080006459626182
observed,observed,83.17955406308684,0.008698066332546344
observed,observed,83.45460718834251,0.007484357399136924
observed,observed,83.72966031359817,0.006421863871549349
observed,observed,84.00471343885384,0.005493979366378022
observed,observed,84.27976656410951,0.004685268481631784
observed,observed,84.55481968936517,0.0039819032391999595
observed,observed,84.82987281462084,0.0033718033509008696
observed,observed,85.10492593987651,0.002844548820159121
observed,observed,85.37997906513218,0.0023911543170890112
observed,observed,85.65503219038784,0.002003797029011493
observed,observed,85.93008531564351,0.0016755768860425057
observed,observed,86.20513844089918,0.0014003659969994487
observed,observed,86.48019156615484,0.0011727791870596862
observed,observed,86.75524469141051,0.0009882751861373857
observed,observed,87.03029781666618,0.0008433817834457959
observed,observed,87.30535094192184,0.0007360291381111728
observed,observed,87.58040406717751,0.0006659719269687147
observed,observed,87.85545719243318,0.00063527965813447
observed,observed,88.13051031768885,0.0006488707833306711
observed,observed,88.40556344294451,0.0007150558905849222
observed,observed,88.68061656820018,0.0008460354945953659
observed,observed,88.95566969345585,0.0010582688710299953
observed,observed,89.23072281871151,0.001372595950272621
observed,observed,89.50577594396718,0.0018139626081994037
observed,observed,89.78082906922285,0.002410582399627473
observed,observed,90.05588219447851,0.0031923781966799137
observed,observed,90.33093531973418,0.004188597323579504
observed,observed,90.60598844498985,0.005424590474614394
observed,observed,90.88104157024551,0.006917885759616562
observed,observed,91.15609469550118,0.008673860492124683
observed,observed,91.43114782075685,0.010681488074155001
observed,observed,91.70620094601252,0.012909778781969932
observed,observed,91.98125407126818,0.015305600827670867
observed,observed,92.25630719652385,0.01779352645639367
observed,observed,92.53136032177952,0.02027817732218433
observed,observed,92.80641344703518,0.022649248672461566
observed,observed,93.08146657229085,0.02478900653524195
observed,observed,93.35651969754652,0.026581636366066225
