市州,year,city_id,grade_id,obs_id,F_strength,F_speed,F_endurance,F_flexibility
宜宾市教育局,2020,4,3,127,0.08547107739155366,-1.103109265,0.4150931035775117,0.9707427669100506
宜宾市教育局,2020,4,0,128,-1.113566179,0.2749658122991561,-0.353733577,0.5428139309818553
宜宾市教育局,2020,4,4,129,-1.757129201,0.16640158202603894,-0.346262807,1.0056900122085881
巴中市教育局,2020,5,1,130,-0.176131239,-0.529324553,0.22353008127537138,-0.447428007
巴中市教育局,2020,5,2,131,-0.272314898,-1.201498856,0.2630091099997537,0.12901521418491155
巴中市教育局,2020,5,3,132,-0.419755954,-1.076436207,1.5723438136532824,0.560752549314052
巴中市教育局,2020,5,0,133,-1.134924612,0.23465906930621722,0.9538173345844426,-0.272995062
巴中市教育局,2020,5,4,134,-1.232420243,0.3836521657637882,0.40019790529186305,-0.185757941
广元市教育局,2020,6,1,135,-0.01134935,-2.238723591,-0.526423861,-1.752606546
广元市教育局,2020,6,2,136,-1.034064049,-1.8830342,-1.165986746,-1.036097184
广元市教育局,2020,6,3,137,-1.234783011,-1.885938266,-1.468096212,-0.785193302
广元市教育局,2020,6,0,138,-1.284069698,-0.307458309,-1.439999317,-1.435909477
广元市教育局,2020,6,4,139,-0.874588204,-0.535951719,-0.51729604,-1.698185482
广安市教育局,2020,7,1,140,-0.784692061,-1.460097407,-0.381678128,-2.015432841
广安市教育局,2020,7,2,141,-1.00399435,-1.758111619,-0.629611727,-1.600900321
广安市教育局,2020,7,3,142,-1.271410497,-1.999479543,0.011814245708152702,-1.160337003
广安市教育局,2020,7,0,143,-2.227867181,-0.445389584,-1.246436375,-1.483640375
广安市教育局,2020,7,4,144,-1.808220988,-0.186173121,-0.867416676,-1.663074129
德阳市教育局,2020,8,1,145,-0.471726632,-0.201055026,-0.239002472,-0.303981845
德阳市教育局,2020,8,2,146,-0.152581127,-0.686677523,-0.545699392,-0.159987697
德阳市教育局,2020,8,3,147,-0.193427765,-0.755722558,-0.0635724,-0.162998589
德阳市教育局,2020,8,0,148,-0.550159118,0.298086253337866,-1.145101738,-1.65900633
德阳市教育局,2020,8,4,149,-0.144881521,0.475722217081467,-1.266389975,-1.337889112
成都市教育局,2020,9,1,150,0.07144431063862233,0.6735855383187243,0.42772923600656343,1.1803445397111845
成都市教育局,2020,9,2,151,0.9896119282631439,0.3538510771293837,0.08329031993512834,1.2985637818607667
成都市教育局,2020,9,3,152,1.511872946126088,0.1541803134622698,0.49932680351268266,1.1905234491216041
成都市教育局,2020,9,0,153,1.567246993382699,1.589903584822043,0.38365807714570355,0.9851132626069361
成都市教育局,2020,9,4,154,0.6693954471174095,1.284315732395911,-0.393676389,1.0448005244641991
攀枝花市教育局,2020,10,1,155,0.10602519950509307,0.2004079184493791,-0.554312258,-0.651296092
攀枝花市教育局,2020,10,2,156,0.5706384191196604,-0.199422202,-0.708977464,-0.476700253
攀枝花市教育局,2020,10,3,157,0.9091266543343687,-0.464981442,0.937586156741249,-0.017327232
攀枝花市教育局,2020,10,0,158,0.3663643822548976,0.11311852673275291,1.8086450872369413,-0.029713311
攀枝花市教育局,2020,10,4,159,0.07487340686125994,0.5185455855772161,0.5085286633369946,-0.286572166
泸州市教育局,2020,11,1,160,-0.200302324,-0.83462489,-0.433393399,-0.580112347
泸州市教育局,2020,11,2,161,-0.342926957,-0.890176409,-0.184229675,-0.051259203
泸州市教育局,2020,11,3,162,-0.119751484,-0.776474448,1.0289539099260785,0.463437965461898
泸州市教育局,2020,11,0,163,-1.299859062,0.25838536352900227,0.691630028243562,-0.013832196
泸州市教育局,2020,11,4,164,-1.451637196,0.18154319991602128,-0.003482931,0.4585859260554103
甘孜藏族自治州教育局,2020,12,1,165,2.5735978409742346,-1.226932842,-2.182631015,0.5299415524832016
甘孜藏族自治州教育局,2020,12,2,166,1.5730052172425852,-1.687924918,-2.10807835,0.9995818956216213
甘孜藏族自治州教育局,2020,12,3,167,0.015771442637579694,-1.599869263,-0.932941714,1.4620669977503504
甘孜藏族自治州教育局,2020,12,0,168,-1.613991453,0.37139132084506904,0.18840879280550518,0.5270336844395056
甘孜藏族自治州教育局,2020,12,4,169,-1.771865134,0.18083416757199405,-0.613155091,-0.121773759
眉山市教育局,2020,13,1,170,-0.351774738,-0.911889413,-0.640357723,-0.955117277
眉山市教育局,2020,13,2,171,-0.421900384,-1.288161462,-0.665255564,-0.858074137
眉山市教育局,2020,13,3,172,-0.401122658,-1.440159682,-0.316772798,-0.510582005
眉山市教育局,2020,13,0,173,-1.092961649,-0.14015571,-1.824219972,-1.412966366
眉山市教育局,2020,13,4,174,-1.245161866,-0.151261026,-1.446873813,-1.435471349
绵阳市教育和体育局,2020,14,1,175,0.10727354992327023,0.0747070309426942,-0.320189925,-0.563420343
绵阳市教育和体育局,2020,14,2,176,0.2448534812782953,0.13335377394573183,-0.459615551,-0.192833743
绵阳市教育和体育局,2020,14,3,177,0.23076465127494294,-0.011835581,0.2920167470924028,0.03230097446239408
绵阳市教育和体育局,2020,14,0,178,-0.066601568,1.3163456819492012,0.18807471236522202,-2.11002718
绵阳市教育和体育局,2020,14,4,179,0.007142398108128147,1.6814268267952661,0.548880313420761,-0.963232616
自贡市教育局,2020,15,1,180,-0.905404758,-1.625312947,-0.766703166,-0.217024869
自贡市教育局,2020,15,2,181,-0.937887466,-2.024115795,-0.56743267,0.12860774556803378
自贡市教育局,2020,15,3,182,-0.90789822,-1.962326314,-0.362184902,0.6325826090922023
自贡市教育局,2020,15,0,183,-2.005981539,-0.57943741,-1.927259612,0.41072020471654325
自贡市教育局,2020,15,4,184,-2.69040993,-0.935080343,-1.657776326,0.8283998177955375
资阳市教育局,2020,16,1,185,-0.114800819,-1.194715327,-0.621566438,-1.053273871
资阳市教育局,2020,16,2,186,-0.465756184,-1.713447024,-0.496381663,-0.264809867
资阳市教育局,2020,16,3,187,-0.691897502,-2.079987385,-0.564132653,0.32594896451750094
资阳市教育局,2020,16,0,188,-1.437433517,-0.639220468,-1.962839018,0.023849283035307606
资阳市教育局,2020,16,4,189,-1.837600426,-0.317171148,-1.46481789,0.6787299948149572
达州市教育局,2020,17,1,190,-0.390783795,-1.590996311,-0.728229284,-1.224043554
达州市教育局,2020,17,2,191,-1.016885462,-2.257537169,-0.6324558,-0.363927338
达州市教育局,2020,17,3,192,-1.316240238,-2.191994928,-0.215246609,0.3559959683794913
达州市教育局,2020,17,0,193,-1.815153217,-0.40426151,-0.326844243,-0.462074258
达州市教育局,2020,17,4,194,-1.974099301,-0.443848806,-1.347692883,-0.665458362
遂宁市教育局,2020,18,1,195,0.05802726680977451,-1.165923694,-0.985788887,-1.83130454
遂宁市教育局,2020,18,2,196,-0.177159113,-1.700222587,-1.523641238,-1.055385375
遂宁市教育局,2020,18,3,197,-0.741749007,-1.372388483,-0.959976961,-0.682690811
遂宁市教育局,2020,18,0,198,-1.672796751,0.16588209257447922,-2.483630075,-1.506263551
遂宁市教育局,2020,18,4,199,-1.865004252,-0.111788081,-1.425017379,-1.92090039
阿坝藏族羌族自治州教育局,2020,19,1,200,0.4937827653433796,-0.740642622,-0.373405955,-0.15979026
阿坝藏族羌族自治州教育局,2020,19,2,201,0.43036696795355006,-1.048267853,0.4882700790334441,1.0206243492493252
阿坝藏族羌族自治州教育局,2020,19,3,202,0.29969261085686594,-0.990234011,0.594455217907807,1.271669197085559
阿坝藏族羌族自治州教育局,2020,19,0,203,-0.473120979,-0.20196751,1.0055959646018697,0.0565692513600194
阿坝藏族羌族自治州教育局,2020,19,4,204,-1.211474434,-0.725182228,-0.12113485,-0.579791808
雅安市教育局,2020,20,1,205,0.7463505618446913,0.2531689687295071,-0.437377902,-0.433403876
雅安市教育局,2020,20,2,206,0.5772697701342576,-0.472427716,-0.450007849,-0.086594933
雅安市教育局,2020,20,3,207,0.5471854280308897,-0.244118787,0.3375447509241806,0.25391890938714756
雅安市教育局,2020,20,0,208,-0.481581794,1.2934075991820466,-0.24952586,-0.810273812
雅安市教育局,2020,20,4,209,-1.137501051,0.042354878306419305,-0.398320069,-0.853202458
乐山市教育局,2021,0,1,210,0.29558265677393336,-0.325175512,-0.163046593,-0.60209579
乐山市教育局,2021,0,2,211,0.48010143066499095,-0.515535426,-0.468902555,-0.082966103
乐山市教育局,2021,0,3,212,0.7699150888178786,-0.913346842,-0.460912487,0.10349384107890983
乐山市教育局,2021,0,0,213,-0.789387054,0.23555430328145363,-2.542517337,0.28012934556185365
乐山市教育局,2021,0,4,214,-1.326972179,0.2688610396060217,-2.373754834,0.15541009185450755
内江市教育局,2021,1,1,215,-0.335277668,-0.518345763,-0.002200802,-0.689721082
内江市教育局,2021,1,2,216,0.1702517747808934,-0.9874764,-0.186676926,-0.120866684
内江市教育局,2021,1,3,217,0.05662981192217717,-0.86896264,0.4606149209303706,0.16749567241021007
